"","X","Y","Count"
"1",18,-35,425
"2",19,-35,37
"3",20,-35,12
"4",21,-35,2
"5",22,-35,7
"6",23,-35,40
"7",24,-35,9
"8",17,-34,1
"9",18,-34,1147
"10",19,-34,90
"11",20,-34,21
"12",21,-34,3
"13",22,-34,23
"14",23,-34,1
"15",24,-34,7
"16",25,-34,439
"17",26,-34,60
"18",27,-34,124
"19",18,-33,6
"20",19,-33,7
"21",24,-33,13
"22",25,-33,7
"23",26,-33,29
"24",27,-33,116
"25",28,-33,62
"26",29,-33,1
"27",18,-32,5
"28",24,-32,2
"29",25,-32,1
"30",26,-32,21
"31",27,-32,5
"32",28,-32,103
"33",29,-32,47
"34",30,-32,8
"35",22,-31,5
"36",26,-31,6
"37",27,-31,27
"38",28,-31,20
"39",29,-31,21
"40",30,-31,41
"41",22,-30,2
"42",23,-30,2
"43",24,-30,1
"44",25,-30,2
"45",26,-30,73
"46",27,-30,103
"47",28,-30,3
"48",29,-30,27
"49",30,-30,474
"50",31,-30,404
"51",16,-29,3
"52",20,-29,2
"53",23,-29,6
"54",24,-29,64
"55",25,-29,1
"56",26,-29,6
"57",27,-29,21
"58",28,-29,6
"59",29,-29,10
"60",30,-29,33
"61",31,-29,41
"62",32,-29,23
"63",16,-28,10
"64",21,-28,1
"65",22,-28,8
"66",23,-28,8
"67",24,-28,7
"68",25,-28,25
"69",26,-28,14
"70",27,-28,9
"71",28,-28,6
"72",29,-28,8
"73",30,-28,11
"74",31,-28,19
"75",32,-28,12
"76",15,-27,6
"77",17,-27,6
"78",18,-27,18
"79",22,-27,3
"80",23,-27,5
"81",24,-27,22
"82",25,-27,8
"83",26,-27,34
"84",27,-27,482
"85",28,-27,832
"86",29,-27,44
"87",30,-27,6
"88",31,-27,176
"89",32,-27,2
"90",17,-26,2
"91",18,-26,4
"92",24,-26,3
"93",25,-26,43
"94",26,-26,17
"95",27,-26,279
"96",28,-26,718
"97",29,-26,29
"98",30,-26,60
"99",31,-26,62
"100",32,-26,170
"101",33,-26,9
"102",45,-26,3
"103",46,-26,20
"104",16,-25,1
"105",17,-25,1
"106",24,-25,1
"107",25,-25,24
"108",26,-25,2
"109",27,-25,9
"110",28,-25,16
"111",29,-25,50
"112",30,-25,60
"113",31,-25,21
"114",32,-25,6
"115",33,-25,4
"116",34,-25,2
"117",35,-25,1
"118",45,-25,3
"119",46,-25,23
"120",47,-25,2
"121",17,-24,4
"122",19,-24,1
"123",27,-24,19
"124",28,-24,13
"125",29,-24,128
"126",30,-24,63
"127",31,-24,17
"128",32,-24,1
"129",34,-24,6
"130",35,-24,13
"131",43,-24,30
"132",44,-24,6
"133",45,-24,13
"134",46,-24,10
"135",47,-24,11
"136",14,-23,28
"137",15,-23,4
"138",17,-23,219
"139",18,-23,5
"140",23,-23,1
"141",28,-23,1
"142",29,-23,9
"143",30,-23,60
"144",31,-23,1
"145",33,-23,1
"146",35,-23,1
"147",43,-23,1
"148",44,-23,5
"149",45,-23,1
"150",46,-23,3
"151",47,-23,15
"152",48,-23,1
"153",15,-22,3
"154",17,-22,17
"155",18,-22,3
"156",19,-22,3
"157",20,-22,1
"158",24,-22,6
"159",25,-22,4
"160",27,-22,5
"161",28,-22,2
"162",29,-22,1
"163",30,-22,24
"164",31,-22,32
"165",34,-22,3
"166",44,-22,3
"167",46,-22,19
"168",47,-22,28
"169",48,-22,4
"170",14,-21,2
"171",15,-21,1
"172",16,-21,4
"173",18,-21,2
"174",27,-21,11
"175",28,-21,297
"176",29,-21,86
"177",30,-21,161
"178",31,-21,77
"179",32,-21,66
"180",33,-21,33
"181",34,-21,19
"182",35,-21,2
"183",44,-21,6
"184",45,-21,3
"185",46,-21,1
"186",47,-21,10
"187",48,-21,2
"188",16,-20,1
"189",17,-20,6
"190",18,-20,3
"191",23,-20,1
"192",27,-20,17
"193",28,-20,16
"194",29,-20,82
"195",30,-20,20
"196",31,-20,164
"197",32,-20,75
"198",33,-20,18
"199",34,-20,43
"200",35,-20,4
"201",44,-20,2
"202",45,-20,3
"203",46,-20,10
"204",47,-20,30
"205",48,-20,3
"206",13,-19,5
"207",15,-19,3
"208",16,-19,1
"209",17,-19,2
"210",19,-19,7
"211",20,-19,10
"212",21,-19,12
"213",22,-19,1
"214",23,-19,2
"215",24,-19,1
"216",25,-19,1
"217",26,-19,10
"218",27,-19,25
"219",28,-19,120
"220",29,-19,137
"221",30,-19,145
"222",31,-19,429
"223",32,-19,220
"224",33,-19,4
"225",34,-19,49
"226",35,-19,6
"227",44,-19,6
"228",45,-19,3
"229",46,-19,7
"230",47,-19,343
"231",48,-19,3
"232",49,-19,45
"233",14,-18,25
"234",15,-18,76
"235",16,-18,17
"236",17,-18,1
"237",18,-18,44
"238",19,-18,71
"239",20,-18,18
"240",21,-18,17
"241",22,-18,49
"242",23,-18,22
"243",24,-18,20
"244",25,-18,33
"245",26,-18,3
"246",27,-18,10
"247",28,-18,7
"248",29,-18,22
"249",30,-18,578
"250",31,-18,1975
"251",32,-18,141
"252",33,-18,1
"253",34,-18,9
"254",35,-18,10
"255",36,-18,11
"256",44,-18,1
"257",45,-18,1
"258",46,-18,1
"259",47,-18,3
"260",48,-18,7
"261",49,-18,3
"262",14,-17,1
"263",15,-17,4
"264",17,-17,20
"265",18,-17,1
"266",22,-17,5
"267",25,-17,2
"268",26,-17,12
"269",27,-17,4
"270",28,-17,25
"271",29,-17,99
"272",30,-17,56
"273",31,-17,130
"274",32,-17,10
"275",33,-17,17
"276",34,-17,1
"277",35,-17,21
"278",36,-17,4
"279",37,-17,1
"280",38,-17,2
"281",39,-17,13
"282",44,-17,1
"283",46,-17,1
"284",49,-17,2
"285",12,-16,2
"286",15,-16,1
"287",16,-16,3
"288",17,-16,4
"289",19,-16,2
"290",20,-16,4
"291",22,-16,2
"292",23,-16,17
"293",26,-16,1
"294",27,-16,4
"295",28,-16,465
"296",29,-16,97
"297",32,-16,2
"298",33,-16,4
"299",34,-16,14
"300",35,-16,92
"301",36,-16,2
"302",37,-16,1
"303",38,-16,4
"304",39,-16,49
"305",40,-16,7
"306",45,-16,2
"307",46,-16,34
"308",47,-16,3
"309",48,-16,1
"310",49,-16,1
"311",50,-16,1
"312",13,-15,19
"313",14,-15,23
"314",15,-15,10
"315",16,-15,74
"316",17,-15,13
"317",19,-15,1
"318",20,-15,1
"319",21,-15,8
"320",23,-15,1
"321",24,-15,8
"322",27,-15,2
"323",28,-15,11
"324",30,-15,8
"325",31,-15,1
"326",32,-15,1
"327",33,-15,5
"328",34,-15,10
"329",35,-15,17
"330",36,-15,1
"331",38,-15,1
"332",39,-15,4
"333",40,-15,7
"334",47,-15,1
"335",48,-15,1
"336",50,-15,2
"337",13,-14,21
"338",14,-14,22
"339",15,-14,30
"340",16,-14,21
"341",17,-14,2
"342",18,-14,3
"343",22,-14,11
"344",23,-14,6
"345",27,-14,4
"346",28,-14,25
"347",29,-14,1
"348",30,-14,6
"349",31,-14,1
"350",32,-14,21
"351",33,-14,89
"352",34,-14,2
"353",35,-14,4
"354",38,-14,2
"355",40,-14,2
"356",48,-14,5
"357",49,-14,7
"358",50,-14,1
"359",12,-13,2
"360",13,-13,39
"361",14,-13,35
"362",15,-13,280
"363",16,-13,277
"364",17,-13,88
"365",18,-13,12
"366",20,-13,3
"367",22,-13,5
"368",23,-13,3
"369",25,-13,3
"370",26,-13,16
"371",27,-13,43
"372",28,-13,200
"373",29,-13,18
"374",30,-13,8
"375",32,-13,4
"376",33,-13,5
"377",34,-13,3
"378",39,-13,2
"379",40,-13,7
"380",49,-13,8
"381",13,-12,9
"382",14,-12,26
"383",15,-12,7
"384",16,-12,178
"385",17,-12,6
"386",19,-12,25
"387",20,-12,4
"388",21,-12,4
"389",22,-12,10
"390",23,-12,9
"391",24,-12,5
"392",26,-12,10
"393",27,-12,139
"394",28,-12,4
"395",29,-12,2
"396",30,-12,2
"397",31,-12,3
"398",33,-12,20
"399",34,-12,3
"400",39,-12,5
"401",40,-12,12
"402",13,-11,3
"403",14,-11,16
"404",15,-11,2
"405",16,-11,1
"406",17,-11,6
"407",18,-11,4
"408",19,-11,14
"409",21,-11,2
"410",22,-11,12
"411",23,-11,5
"412",25,-11,10
"413",26,-11,15
"414",27,-11,3
"415",28,-11,15
"416",29,-11,3
"417",30,-11,1
"418",31,-11,21
"419",32,-11,4
"420",34,-11,3
"421",35,-11,13
"422",37,-11,1
"423",40,-11,9
"424",13,-10,20
"425",14,-10,36
"426",15,-10,29
"427",16,-10,375
"428",17,-10,11
"429",18,-10,25
"430",19,-10,73
"431",20,-10,29
"432",21,-10,6
"433",22,-10,3
"434",23,-10,2
"435",24,-10,1
"436",25,-10,9
"437",26,-10,7
"438",27,-10,6
"439",28,-10,13
"440",29,-10,4
"441",31,-10,1
"442",32,-10,19
"443",33,-10,15
"444",34,-10,1
"445",35,-10,5
"446",37,-10,1
"447",38,-10,1
"448",13,-9,128
"449",14,-9,37
"450",15,-9,36
"451",16,-9,22
"452",17,-9,27
"453",18,-9,11
"454",19,-9,7
"455",20,-9,38
"456",21,-9,19
"457",22,-9,1
"458",24,-9,24
"459",25,-9,1
"460",26,-9,20
"461",27,-9,69
"462",28,-9,97
"463",29,-9,14
"464",30,-9,24
"465",31,-9,5
"466",32,-9,4
"467",33,-9,9
"468",35,-9,2
